am_day,biblical_citations_summary,citation_categories,citation_precision,date_ce,description,event_type,has_biblical_citations,location,name,scripture_related_events,source,source_file,total_biblical_citations
-594814.94,"direct_citations: Wj 19:18 - ""Cała góra Synaj dymiła, bo zstąpił na nią Pan w ogniu""; 1Krl 19:11-12 - ""Po trzęsieniu ziemi - ogień, ale Pan nie był w ogniu""; Ps 104:32 - ""Spogląda na ziemię, a ona drży; dotyka gór, a one dymią"" | prophetic_significance: Ap 8:8 - ""Jakby wielka góra płonąca ogniem została wrzucona w morze""; Iz 64:1-3 - ""Oby zstąpił z niebios! Góry by się roztopiły przed Jego obliczem""; Mi 1:4 - ""Góry się rozpłyną pod Nim, doliny się rozstąpią"" | historical_context: Rdz 19:24-25 - ""Pan spuścił na Sodomę i Gomorę deszcz siarki i ognia""; Pwt 29:22 - ""Siarka i sól, spalenizna całej ziemi""","direct_citations, prophetic_significance, historical_context",,-1628-06-15,Minoan civilization impact,VOLCANO,True,Greece,Santorini,EARTHQUAKE,Historical_Records,AMJD_HISTORICAL_EVENTS_MASTER.csv,11
-87513.65,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,-239-05-25,Halley's Comet return - Chinese records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
-59660.64,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,-163-08-28,Halley's Comet return - Babylonian records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
-31924.63,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,-087-08-06,Halley's Comet return - Chinese records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
-4145.62,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,-011-08-26,Halley's Comet return - Chinese records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
23765.39,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0066-01-25,Halley's Comet return - Josephus account,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
28724.39,"direct_citations: Wj 19:18 - ""Cała góra Synaj dymiła, bo zstąpił na nią Pan w ogniu""; 1Krl 19:11-12 - ""Po trzęsieniu ziemi - ogień, ale Pan nie był w ogniu""; Ps 104:32 - ""Spogląda na ziemię, a ona drży; dotyka gór, a one dymią"" | prophetic_significance: Ap 8:8 - ""Jakby wielka góra płonąca ogniem została wrzucona w morze""; Iz 64:1-3 - ""Oby zstąpił z niebios! Góry by się roztopiły przed Jego obliczem""; Mi 1:4 - ""Góry się rozpłyną pod Nim, doliny się rozstąpią"" | historical_context: Rdz 19:24-25 - ""Pan spuścił na Sodomę i Gomorę deszcz siarki i ognia""; Pwt 29:22 - ""Siarka i sól, spalenizna całej ziemi""","direct_citations, prophetic_significance, historical_context",,0079-08-24,Pompeii destruction,VOLCANO,True,Italy,Vesuvius,EARTHQUAKE,Historical_Records,AMJD_HISTORICAL_EVENTS_MASTER.csv,11
51214.4,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0141-03-22,Halley's Comet return - Chinese records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
65956.4,"direct_citations: Wj 19:18 - ""Cała góra Synaj dymiła, bo zstąpił na nią Pan w ogniu""; 1Krl 19:11-12 - ""Po trzęsieniu ziemi - ogień, ale Pan nie był w ogniu""; Ps 104:32 - ""Spogląda na ziemię, a ona drży; dotyka gór, a one dymią"" | prophetic_significance: Ap 8:8 - ""Jakby wielka góra płonąca ogniem została wrzucona w morze""; Iz 64:1-3 - ""Oby zstąpił z niebios! Góry by się roztopiły przed Jego obliczem""; Mi 1:4 - ""Góry się rozpłyną pod Nim, doliny się rozstąpią"" | historical_context: Rdz 19:24-25 - ""Pan spuścił na Sodomę i Gomorę deszcz siarki i ognia""; Pwt 29:22 - ""Siarka i sól, spalenizna całej ziemi""","direct_citations, prophetic_significance, historical_context",,0181-08-01,Largest recent eruption,VOLCANO,True,New Zealand,Taupo,EARTHQUAKE,Historical_Records,AMJD_HISTORICAL_EVENTS_MASTER.csv,11
67545.4,"direct_citations: Iz 34:4 - ""Wszystkie zastępy niebieskie się rozpuszczą, niebiosa zwijają się jak zwój""; Ap 6:14 - ""Niebo zostało zwinięte jak zwój księgi""; Mt 24:29 - ""Gwiazdy będą spadać z nieba, a moce niebieskie zostaną wstrząśnięte"" | theological_context: Hi 38:7 - ""Gdy razem śpiewały gwiazdy poranne i wykrzykiwali radośnie wszyscy synowie Boży""; Ps 8:4 - ""Gdy patrzę na Twoje niebiosa, dzieło Twoich palców, na księżyc i gwiazdy""","direct_citations, theological_context",,0185-12-07,First recorded supernova,SUPERNOVA,True,Centaurus constellation,SN 185,MIYAKE,Historical_Astronomy,AMJD_HISTORICAL_EVENTS_MASTER.csv,6
79393.41,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0218-05-17,Halley's Comet return - Chinese records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
107490.41,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0295-04-20,Halley's Comet return - Chinese records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
136281.42,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0374-02-16,Halley's Comet return - Chinese records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
